UserID,Unidade,Nivel,Modalidade
a6e2ca309babfa7ef0d1f5dcac55ed66,Centro de Educação - CEDU,Graduação (licenciatura),Presencial
acfe59edd9860303a49fef313c66e965,"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",Graduação (licenciatura),Presencial
4ab4e6545a15047ce346f509f399a395,Faculdade de Arquitetura e Urbanismo - FAU,Graduação (bacharelado),Presencial
9cea218dcb8e59479aaafc0f16740812,Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (bacharelado),Presencial
49ebc0154d78e712aeee79e2fe34a59d,Campus CECA,Mestrado,Presencial
19f7a2f91f65055fb79efefc17be9d6a,"Faculdade de Economia, Administração e Contabilidade - FEAC",Graduação (bacharelado),Presencial
3fbaf6c147f772f93e9a5bab4a04231e,"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",Graduação (licenciatura),Presencial
970a237874ad093b74523e477c4e818c,"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",Graduação (licenciatura),Presencial
01fa798353543d88eb5ecb9e3b303af3,"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",Graduação (bacharelado),Presencial
0b01bb3d62a554e9fff4814cedb9eada,Centro de Educação - CEDU,Graduação (licenciatura),Presencial
5ce99cea0cccdc22ccd2bc5fcdf8eb3a,Instituto de Ciências Atmosféricas - ICAT,Graduação (bacharelado),Presencial
d1d052dede318f9a8a771a61cac0fd0f,Instituto de Ciências Atmosféricas - ICAT,Graduação (bacharelado),Presencial
502223e5372fa042cda14cada3133db6,Campus CECA,Graduação (bacharelado),Presencial
04782b60a81cd27673b1207276b9fd5b,Instituto de Ciências Atmosféricas - ICAT,Graduação (bacharelado),Presencial
44ce7e289e04b60a74ecd6b7bde41394,Instituto de Ciências Sociais - ICS,Graduação (licenciatura),Presencial
4b5a2942ea9f2736306ed5fd43196577,Centro de Educação - CEDU,Graduação (licenciatura),Presencial
950c031489546bcfef55e1e82ae0472f,Centro de Educação - CEDU,Graduação (licenciatura),Presencial
